"","Slice","Count","Total Area","Average Size","%Area","Mean","Perim.","Circ.","Solidity","hippo_area","Treatment","Gender"
"342","C2-AD273_6E10_6_DG.oir",2,77.248,38.624,0.005,255,20.641,1,0.932,"DG","SHAM","F"
"343","C2-AD273_6E10_7_DG.oir",3,194.664,64.888,0.012,255,28.794,0.949,0.892,"DG","SHAM","F"
"344","C2-AD273_6E10_8_DG.oir",2,98.877,49.438,0.006,255,25.4,0.947,0.884,"DG","SHAM","F"
"345","C2-AD284_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","F"
"346","C2-AD284_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","F"
"347","C2-AD284_6E10_3_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","F"
"348","C2-AD284_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","F"
"349","C2-AD073_6E10_6_DG.oir",3,140.591,46.864,0.009,255,23.864,0.998,0.915,"DG","SHAM","M"
"350","C2-AD080_6E10_1_DG.oir",7,588.627,84.09,0.036,255,28.526,0.95,0.913,"DG","SHAM","F"
"351","C2-AD080_6E10_2_DG.oir",18,2116.585,117.588,0.131,255,41.55,0.823,0.881,"DG","SHAM","F"
"352","C2-AD080_6E10_3_DG.oir",28,7876.167,281.292,0.486,255,63.784,0.743,0.829,"DG","SHAM","F"
"353","C2-AD080_6E10_4_DG.oir",14,914.612,65.329,0.056,255,27.868,0.964,0.901,"DG","SHAM","F"
"354","C2-AD080_6E10_5_DG.oir",9,520.649,57.85,0.032,255,26.174,0.943,0.897,"DG","SHAM","F"
"355","C2-AD080_6E10_6_DG.oir",4,546.913,136.728,0.034,255,39.192,0.892,0.902,"DG","SHAM","F"
"356","C2-AD080_6E10_7_DG.oir",9,409.412,45.49,0.025,255,23.116,0.933,0.875,"DG","SHAM","F"
"357","C2-AD085_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"358","C2-AD085_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"359","C2-AD085_6E10_3_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"360","C2-AD085_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"361","C2-AD085_6E10_5_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"362","C2-AD085_6E10_6_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"363","C2-AD085_6E10_7_DG.oir",1,23.174,23.174,0.001,255,16.247,1,0.968,"DG","SHAM","M"
"364","C2-AD175_6E10_1_DG.oir",1,20.084,20.084,0.001,255,15.82,1,0.812,"DG","SHAM","F"
"365","C2-AD175_6E10_2_DG.oir",5,148.315,29.663,0.009,255,16.137,0.97,0.922,"DG","SHAM","F"
"366","C2-AD073_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"367","C2-AD175_6E10_3_DG.oir",1,26.264,26.264,0.002,255,17.277,1,0.919,"DG","SHAM","F"
"368","C2-AD175_6E10_4_DG.oir",1,35.534,35.534,0.002,255,20.792,1,0.885,"DG","SHAM","F"
"369","C2-AD182_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","F"
"370","C2-AD182_6E10_2_DG.oir",2,15.45,7.725,0.0009537,255,8.789,1,0.9,"DG","SHAM","F"
"371","C2-AD182_6E10_4_DG.oir",6,525.284,87.547,0.032,255,33.009,0.914,0.903,"DG","SHAM","F"
"372","C2-AD182_6E10_5_DG.oir",9,196.209,21.801,0.012,255,15.862,0.962,0.885,"DG","SHAM","F"
"373","C2-AD110_6E10_1_CA1.oir",4,631.886,157.971,0.039,255,55.816,0.751,0.811,"CA1","AD","M"
"374","C2-AD146_6E10_4_CA1.oir",2,71.068,35.534,0.004,255,20.277,1,0.927,"CA1","AD","F"
"375","C2-AD276_6E10_2_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"376","C2-AD276_6E10_3_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"377","C2-AD276_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"378","C2-AD110_6E10_4_CA1.oir",5,341.434,68.287,0.021,255,29.983,0.889,0.869,"CA1","AD","M"
"379","C2-AD276_6E10_5_CA1.oir",2,89.607,44.804,0.006,255,20.277,1,0.964,"CA1","AD","M"
"380","C2-AD276_6E10_6_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"381","C2-AD276_6E10_7_CA1.oir",1,49.438,49.438,0.003,255,25.764,0.936,0.901,"CA1","AD","M"
"382","C2-AD277_6E10_1_CA1.oir",1,30.899,30.899,0.002,255,20.064,0.965,0.833,"CA1","AD","M"
"383","C2-AD277_6E10_2_CA1.oir",2,101.967,50.983,0.006,255,24.672,0.998,0.903,"CA1","AD","M"
"384","C2-AD277_6E10_3_CA1.oir",3,86.517,28.839,0.005,255,17.62,1,0.864,"CA1","AD","M"
"385","C2-AD277_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"386","C2-AD277_6E10_5_CA1.oir",1,63.343,63.343,0.004,255,28.552,0.976,0.872,"CA1","AD","M"
"387","C2-AD277_6E10_6_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"388","C2-AD277_6E10_7_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"389","C2-AD110_6E10_5_CA1.oir",2,101.967,50.983,0.006,255,31.1,0.666,0.846,"CA1","AD","M"
"390","C2-AD277_6E10_8_CA1.oir",8,444.946,55.618,0.027,255,25.309,0.977,0.896,"CA1","AD","M"
"391","C2-AD279_6E10_1_CA1.oir",1,21.629,21.629,0.001,255,16.548,0.993,0.848,"CA1","AD","M"
"392","C2-AD279_6E10_2_CA1.oir",2,207.024,103.512,0.013,255,32.795,0.951,0.875,"CA1","AD","M"
"393","C2-AD279_6E10_3_CA1.oir",2,35.534,17.767,0.002,255,14.276,1,0.903,"CA1","AD","M"
"394","C2-AD279_6E10_4_CA1.oir",10,329.075,32.907,0.02,255,19.489,0.928,0.864,"CA1","AD","M"
"395","C2-AD279_6E10_5_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"396","C2-AD110_6E10_6_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"397","C2-AD110_6E10_7_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"398","C2-AD110_6E10_8_CA1.oir",2,52.528,26.264,0.003,255,19.398,0.855,0.857,"CA1","AD","M"
"399","C2-AD112_6E10_1_CA1.oir",15,424.862,28.324,0.026,255,17.668,0.994,0.886,"CA1","AD","M"
"400","C2-AD112_6E10_2_CA1.oir",4,146.77,36.693,0.009,255,20.641,0.994,0.897,"CA1","AD","M"
"401","C2-AD112_6E10_3_CA1.oir",6,98.877,16.479,0.006,255,12.69,1,0.952,"CA1","AD","M"
"402","C2-AD112_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"403","C2-AD112_6E10_5_CA1.oir",3,97.332,32.444,0.006,255,18.206,1,0.913,"CA1","AD","M"
"404","C2-AD112_6E10_6_CA1.oir",2,46.349,23.174,0.003,255,16.548,0.969,0.856,"CA1","AD","M"
"405","C2-AD110_6E10_2_CA1.oir",3,1572.762,524.254,0.097,255,73.35,0.843,0.838,"CA1","AD","M"
"406","C2-AD146_6E10_5_CA1.oir",2,123.596,61.798,0.008,255,27.158,1,0.913,"CA1","AD","F"
"407","C2-AD130_6E10_1_CA1.oir",4,214.748,53.687,0.013,255,26.612,0.905,0.864,"CA1","AD","F"
"408","C2-AD130_6E10_3_CA1.oir",14,1387.367,99.098,0.086,255,33.021,0.942,0.913,"CA1","AD","F"
"409","C2-AD130_6E10_4_CA1.oir",5,312.08,62.416,0.019,255,23.921,0.991,0.928,"CA1","AD","F"
"410","C2-AD130_6E10_5_CA1.oir",1,6.18,6.18,0.0003815,255,7.031,1,1,"CA1","AD","F"
"411","C2-AD130_6E10_7_CA1.oir",8,2325.153,290.644,0.144,255,65.979,0.786,0.88,"CA1","AD","F"
"412","C2-AD266_6E10_1_CA1.oir",23,1464.615,63.679,0.09,255,26.696,0.979,0.896,"CA1","AD","M"
"413","C2-AD266_6E10_2_CA1.oir",23,1580.486,68.717,0.098,255,26.963,0.966,0.909,"CA1","AD","M"
"414","C2-AD144_6E10_1_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","F"
"415","C2-AD110_6E10_3_CA1.oir",2,3023.472,1511.736,0.187,255,151.318,0.734,0.893,"CA1","AD","M"
"416","C2-AD146_6E10_6_CA1.oir",4,154.495,38.624,0.01,255,21.52,0.998,0.915,"CA1","AD","F"
"417","C2-AD266_6E10_3_CA1.oir",7,376.968,53.853,0.023,255,24.846,0.967,0.916,"CA1","AD","M"
"418","C2-AD144_6E10_2_CA1.oir",1,38.624,38.624,0.002,255,21.52,1,0.909,"CA1","AD","F"
"419","C2-AD266_6E10_4_CA1.oir",9,648.88,72.098,0.04,255,25.717,0.99,0.924,"CA1","AD","M"
"420","C2-AD144_6E10_3_CA1.oir",2,302.811,151.405,0.019,255,45.376,0.702,0.833,"CA1","AD","F"
"421","C2-AD275_6E10_1_CA1.oir",4,131.321,32.83,0.008,255,20.641,0.903,0.866,"CA1","AD","F"
"422","C2-AD275_6E10_2_CA1.oir",1,46.349,46.349,0.003,255,23.278,1,0.923,"CA1","AD","F"
"423","C2-AD144_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","F"
"424","C2-AD275_6E10_3_CA1.oir",2,60.253,30.127,0.004,255,18.519,1,0.93,"CA1","AD","F"
"425","C2-AD144_6E10_5_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","F"
"426","C2-AD275_6E10_4_CA1.oir",2,154.495,77.248,0.01,255,30.159,1,0.912,"CA1","AD","F"
"427","C2-AD146_6E10_1_CA1.oir",3,128.231,42.744,0.008,255,22.349,0.991,0.93,"CA1","AD","F"
"428","C2-AD275_6E10_5_CA1.oir",1,13.905,13.905,0.0008583,255,12.003,1,1,"CA1","AD","F"
"429","C2-AD146_6E10_2_CA1.oir",3,308.99,102.997,0.019,255,34.109,0.996,0.924,"CA1","AD","F"
"430","C2-AD275_6E10_6_CA1.oir",4,88.062,22.016,0.005,255,14.791,1,0.892,"CA1","AD","F"
"431","C2-AD146_6E10_3_CA1.oir",3,108.147,36.049,0.007,255,19.762,1,0.919,"CA1","AD","F"
"432","C2-AD275_6E10_7_CA1.oir",1,54.073,54.073,0.003,255,26.794,0.947,0.864,"CA1","AD","F"
"433","C2-AD276_6E10_1_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"434","C2-AD276_6E10_2_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"435","C2-AD276_6E10_3_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"436","C2-AD276_6E10_4_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"437","C2-AD276_6E10_5_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"438","C2-AD276_6E10_6_CA3.oir",4,95.787,23.947,0.006,255,16.291,1,0.87,"CA3","AD","M"
"439","C2-AD276_6E10_7_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"440","C2-AD110_6E10_4_CA3.oir",2,38.624,19.312,0.002,255,15.155,1,0.873,"CA3","AD","M"
"441","C2-AD277_6E10_1_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"442","C2-AD277_6E10_2_CA3.oir",2,57.163,28.582,0.004,255,17.063,0.999,0.829,"CA3","AD","M"
"443","C2-AD277_6E10_3_CA3.oir",1,30.899,30.899,0.002,255,19.336,1,0.833,"CA3","AD","M"
"444","C2-AD277_6E10_4_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"445","C2-AD277_6E10_5_CA3.oir",1,222.473,222.473,0.014,255,54.742,0.933,0.938,"CA3","AD","M"
"446","C2-AD277_6E10_6_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"447","C2-AD277_6E10_7_CA3.oir",1,21.629,21.629,0.001,255,15.519,1,0.933,"CA3","AD","M"
"448","C2-AD277_6E10_8_CA3.oir",5,285.816,57.163,0.018,255,26.467,0.983,0.904,"CA3","AD","M"
"449","C2-AD279_6E10_1_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"450","C2-AD279_6E10_2_CA3.oir",1,67.978,67.978,0.004,255,28.25,1,0.946,"CA3","AD","M"
"451","C2-AD110_6E10_5_CA3.oir",1,29.354,29.354,0.002,255,21.52,0.796,0.826,"CA3","AD","M"
"452","C2-AD279_6E10_3_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"453","C2-AD279_6E10_4_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"454","C2-AD279_6E10_5_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"455","C2-AD110_6E10_6_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"456","C2-AD110_6E10_1_CA3.oir",1,1650.009,1650.009,0.102,255,195.565,0.542,0.828,"CA3","AD","M"
"457","C2-AD146_6E10_4_CA3.oir",1,33.989,33.989,0.002,255,19.762,1,0.936,"CA3","AD","F"
"458","C2-AD110_6E10_7_CA3.oir",2,52.528,26.264,0.003,255,17.641,1,0.932,"CA3","AD","M"
"459","C2-AD110_6E10_8_CA3.oir",1,12.36,12.36,0.0007629,255,11.275,1,0.941,"CA3","AD","M"
"460","C2-AD112_6E10_1_CA3.oir",8,202.389,25.299,0.012,255,16.291,0.974,0.879,"CA3","AD","M"
"461","C2-AD112_6E10_2_CA3.oir",4,120.506,30.127,0.007,255,17.459,0.999,0.938,"CA3","AD","M"
"462","C2-AD112_6E10_4_CA3.oir",8,157.585,19.698,0.01,255,14.442,0.999,0.895,"CA3","AD","M"
"463","C2-AD112_6E10_5_CA3.oir",18,1466.16,81.453,0.091,255,30.664,0.92,0.88,"CA3","AD","M"
"464","C2-AD112_6E10_6_CA3.oir",10,400.143,40.014,0.025,255,20.672,0.979,0.894,"CA3","AD","M"
"465","C2-AD130_6E10_1_CA3.oir",47,2889.061,61.469,0.178,255,25.922,0.968,0.904,"CA3","AD","F"
"466","C2-AD130_6E10_2_CA3.oir",2,43.259,21.629,0.003,255,15.67,0.936,0.791,"CA3","AD","F"
"467","C2-AD110_6E10_2_CA3.oir",2,499.02,249.51,0.031,255,66.532,0.671,0.841,"CA3","AD","M"
"468","C2-AD146_6E10_5_CA3.oir",5,149.86,29.972,0.009,255,18.186,0.994,0.914,"CA3","AD","F"
"469","C2-AD130_6E10_3_CA3.oir",1,64.888,64.888,0.004,255,28.552,1,0.894,"CA3","AD","F"
"470","C2-AD130_6E10_4_CA3.oir",3,54.073,18.024,0.003,255,13.276,1,0.919,"CA3","AD","F"
"471","C2-AD130_6E10_5_CA3.oir",1,15.45,15.45,0.0009537,255,13.033,1,0.909,"CA3","AD","F"
"472","C2-AD130_6E10_6_CA3.oir",5,154.495,30.899,0.01,255,18.949,0.944,0.847,"CA3","AD","F"
"473","C2-AD266_6E10_1_CA3.oir",19,3612.099,190.11,0.223,255,40.814,0.919,0.88,"CA3","AD","M"
"474","C2-AD130_6E10_7_CA3.oir",4,709.133,177.283,0.044,255,51.572,0.828,0.832,"CA3","AD","F"
"475","C2-AD266_6E10_2_CA3.oir",17,815.735,47.984,0.05,255,22.529,0.982,0.912,"CA3","AD","M"
"476","C2-AD144_6E10_1_CA3.oir",2,61.798,30.899,0.004,255,19.185,0.989,0.858,"CA3","AD","F"
"477","C2-AD266_6E10_3_CA3.oir",6,254.917,42.486,0.016,255,19.984,0.992,0.906,"CA3","AD","M"
"478","C2-AD266_6E10_4_CA3.oir",5,166.855,33.371,0.01,255,18.889,0.98,0.878,"CA3","AD","M"
"479","C2-AD144_6E10_3_CA3.oir",1,32.444,32.444,0.002,255,19.034,1,0.913,"CA3","AD","F"
"480","C2-AD275_6E10_1_CA3.oir",1,46.349,46.349,0.003,255,27.522,0.769,0.845,"CA3","AD","F"
"481","C2-AD275_6E10_2_CA3.oir",1,64.888,64.888,0.004,255,28.25,1,0.944,"CA3","AD","F"
"482","C2-AD144_6E10_4_CA3.oir",2,114.326,57.163,0.007,255,26.643,0.988,0.912,"CA3","AD","F"
"483","C2-AD275_6E10_3_CA3.oir",2,41.714,20.857,0.003,255,14.427,0.969,0.911,"CA3","AD","F"
"484","C2-AD144_6E10_5_CA3.oir",4,129.776,32.444,0.008,255,18.337,0.986,0.926,"CA3","AD","F"
"485","C2-AD275_6E10_4_CA3.oir",2,30.899,15.45,0.002,255,12.518,1,0.967,"CA3","AD","F"
"486","C2-AD146_6E10_1_CA3.oir",2,43.259,21.629,0.003,255,14.64,0.99,0.883,"CA3","AD","F"
"487","C2-AD110_6E10_3_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","AD","M"
"488","C2-AD275_6E10_5_CA3.oir",4,157.585,39.396,0.01,255,20.535,0.994,0.917,"CA3","AD","F"
"489","C2-AD146_6E10_2_CA3.oir",2,80.338,40.169,0.005,255,21.156,1,0.924,"CA3","AD","F"
"490","C2-AD275_6E10_6_CA3.oir",2,66.433,33.216,0.004,255,19.398,1,0.927,"CA3","AD","F"
"491","C2-AD275_6E10_7_CA3.oir",2,40.169,20.084,0.002,255,15.67,0.988,0.852,"CA3","AD","F"
"492","C2-AD276_6E10_1_CA3.oir",1,16.994,16.994,0.001,255,13.761,1,0.957,"CA3","AD","M"
"493","C2-AD276_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"494","C2-AD276_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"495","C2-AD276_6E10_3_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"496","C2-AD276_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"497","C2-AD276_6E10_5_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"498","C2-AD276_6E10_6_DG.oir",3,196.209,65.403,0.012,255,27.865,0.954,0.894,"DG","AD","M"
"499","C2-AD276_6E10_7_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"500","C2-AD277_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"501","C2-AD277_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"502","C2-AD277_6E10_3_DG.oir",1,21.629,21.629,0.001,255,15.519,1,0.933,"DG","AD","M"
"503","C2-AD110_6E10_4_DG.oir",1,23.174,23.174,0.001,255,17.277,0.976,0.882,"DG","AD","M"
"504","C2-AD277_6E10_4_DG.oir",1,35.534,35.534,0.002,255,20.792,1,0.868,"DG","AD","M"
"505","C2-AD277_6E10_5_DG.oir",3,299.721,99.907,0.019,255,32.937,0.985,0.914,"DG","AD","M"
"506","C2-AD277_6E10_6_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"507","C2-AD277_6E10_7_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"508","C2-AD277_6E10_8_DG.oir",4,250.282,62.571,0.015,255,26.203,0.968,0.921,"DG","AD","M"
"509","C2-AD279_6E10_1_DG.oir",1,29.354,29.354,0.002,255,18.306,1,0.864,"DG","AD","M"
"510","C2-AD279_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"511","C2-AD279_6E10_3_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"512","C2-AD279_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"513","C2-AD110_6E10_5_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"514","C2-AD110_6E10_6_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"515","C2-AD110_6E10_7_DG.oir",1,61.798,61.798,0.004,255,26.794,1,0.92,"DG","AD","M"
"516","C2-AD110_6E10_8_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"517","C2-AD112_6E10_1_DG.oir",9,336.8,37.422,0.021,255,21.082,0.991,0.895,"DG","AD","M"
"518","C2-AD110_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","M"
"519","C2-AD146_6E10_4_DG.oir",2,30.899,15.45,0.002,255,12.669,1,0.886,"DG","AD","F"
"520","C2-AD112_6E10_2_DG.oir",7,151.405,21.629,0.009,255,15.752,0.965,0.849,"DG","AD","M"
"521","C2-AD112_6E10_3_DG.oir",4,146.77,36.693,0.009,255,19.656,0.991,0.913,"DG","AD","M"
"522","C2-AD112_6E10_4_DG.oir",3,64.888,21.629,0.004,255,15.276,1,0.923,"DG","AD","M"
