"","Slice","Count","Total Area","Average Size","%Area","Mean","Perim.","Circ.","Solidity","hippo_area","Treatment","Gender"
"523","C2-AD112_6E10_5_DG.oir",7,298.176,42.597,0.018,255,21.208,0.959,0.906,"DG","AD","M"
"524","C2-AD130_6E10_1_DG.oir",15,2105.77,140.385,0.13,255,35.104,0.94,0.899,"DG","AD","F"
"525","C2-AD130_6E10_2_DG.oir",1,554.638,554.638,0.034,255,89.295,0.874,0.929,"DG","AD","F"
"526","C2-AD130_6E10_3_DG.oir",3,222.473,74.158,0.014,255,29.522,0.979,0.894,"DG","AD","F"
"527","C2-AD130_6E10_4_DG.oir",4,97.332,24.333,0.006,255,16.837,1,0.905,"DG","AD","F"
"528","C2-AD110_6E10_2_DG.oir",1,406.322,406.322,0.025,255,78.02,0.839,0.905,"DG","AD","M"
"529","C2-AD146_6E10_5_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","F"
"530","C2-AD130_6E10_5_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","F"
"531","C2-AD130_6E10_6_DG.oir",1,20.084,20.084,0.001,255,15.519,1,0.897,"DG","AD","F"
"532","C2-AD266_6E10_1_DG.oir",11,738.487,67.135,0.046,255,27.577,0.982,0.908,"DG","AD","M"
"533","C2-AD130_6E10_7_DG.oir",4,152.95,38.238,0.009,255,20.899,0.965,0.908,"DG","AD","F"
"534","C2-AD266_6E10_2_DG.oir",19,656.605,34.558,0.041,255,19.303,0.983,0.912,"DG","AD","M"
"535","C2-AD144_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","AD","F"
"536","C2-AD266_6E10_3_DG.oir",2,151.405,75.703,0.009,255,29.857,0.971,0.936,"DG","AD","M"
"537","C2-AD266_6E10_4_DG.oir",4,176.125,44.031,0.011,255,22.839,0.996,0.909,"DG","AD","M"
"538","C2-AD144_6E10_3_DG.oir",3,143.681,47.894,0.009,255,20.692,0.99,0.925,"DG","AD","F"
"539","C2-AD275_6E10_1_DG.oir",2,103.512,51.756,0.006,255,25.4,0.997,0.905,"DG","AD","F"
"540","C2-AD146_6E10_6_DG.oir",7,213.203,30.458,0.013,255,18.93,0.988,0.887,"DG","AD","F"
"541","C2-AD275_6E10_2_DG.oir",3,253.372,84.457,0.016,255,33.138,0.948,0.876,"DG","AD","F"
"542","C2-AD144_6E10_4_DG.oir",1,10.815,10.815,0.0006676,255,11.275,1,0.875,"DG","AD","F"
"543","C2-AD275_6E10_3_DG.oir",1,16.994,16.994,0.001,255,13.761,1,0.957,"DG","AD","F"
"544","C2-AD144_6E10_5_DG.oir",2,80.338,40.169,0.005,255,22.186,0.993,0.869,"DG","AD","F"
"545","C2-AD275_6E10_4_DG.oir",2,92.697,46.349,0.006,255,23.278,1,0.924,"DG","AD","F"
"546","C2-AD146_6E10_1_DG.oir",6,100.422,16.737,0.006,255,13.154,0.999,0.928,"DG","AD","F"
"547","C2-AD275_6E10_5_DG.oir",2,468.121,234.06,0.029,255,73.199,0.674,0.774,"DG","AD","F"
"548","C2-AD146_6E10_2_DG.oir",1,33.989,33.989,0.002,255,21.52,0.922,0.917,"DG","AD","F"
"549","C2-AD275_6E10_6_DG.oir",6,202.389,33.731,0.012,255,19.792,0.975,0.885,"DG","AD","F"
"550","C2-AD275_6E10_7_DG.oir",1,75.703,75.703,0.005,255,31.037,0.988,0.916,"DG","AD","F"
"551","C2-AD110_6E10_3_DG.oir",1,27.809,27.809,0.002,255,18.005,1,0.947,"DG","AD","M"
"552","C2-WT031_6E10_1_CA1.oir",5,387.783,77.557,0.024,255,29.777,0.978,0.919,"CA1","WT","M"
"553","C2-WT031_6E10_2_CA1.oir",5,165.31,33.062,0.01,255,19.326,0.98,0.922,"CA1","WT","M"
"554","C2-WT031_6E10_3_CA1.oir",5,66.433,13.287,0.004,255,12.184,0.971,0.866,"CA1","WT","M"
"555","C2-WT031_6E10_4_CA1.oir",7,431.042,61.577,0.027,255,27.228,0.844,0.839,"CA1","WT","M"
"556","C2-WT031_6E10_5_CA1.oir",1,26.264,26.264,0.002,255,18.306,0.985,0.81,"CA1","WT","M"
"557","C2-WT031_6E10_7_CA1.oir",2,55.618,27.809,0.003,255,17.641,0.929,0.904,"CA1","WT","M"
"558","C2-WT031_6E10_8_CA1.oir",1,16.994,16.994,0.001,255,13.761,1,0.957,"CA1","WT","M"
"559","C2-WT034_6E10_1_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","M"
"560","C2-WT034_6E10_2_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","M"
"561","C2-WT034_6E10_3_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","M"
"562","C2-WT034_6E10_5_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","M"
"563","C2-WT034_6E10_6_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","M"
"564","C2-WT038_6E10_1_CA1.oir",1,90.525,90.525,0.014,255,35.767,0.889,0.929,"CA1","WT","F"
"565","C2-WT038_6E10_2_CA1.oir",7,92.939,13.277,0.015,255,13.239,0.922,0.923,"CA1","WT","F"
"566","C2-WT038_6E10_5_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","F"
"567","C2-WT038_6E10_6_CA1.oir",4,59.143,14.786,0.009,255,12.995,0.963,0.895,"CA1","WT","F"
"568","C2-WT038_6E10_7_CA1.oir",1,24.14,24.14,0.004,255,17.201,1,0.93,"CA1","WT","F"
"569","C2-WT038_6E10_8_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","F"
"570","C2-WT227_6E10_2_CA1.oir",1,26.264,26.264,0.002,255,18.306,0.985,0.85,"CA1","WT","M"
"571","C2-WT227_6E10_3_CA1.oir",1,57.163,57.163,0.004,255,26.492,1,0.937,"CA1","WT","M"
"572","C2-WT227_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","M"
"573","C2-WT227_6E10_5_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","M"
"574","C2-WT227_6E10_6_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","M"
"575","C2-WT229_6E10_1_CA1.oir",2,66.433,33.216,0.004,255,20.127,0.988,0.936,"CA1","WT","M"
"576","C2-WT229_6E10_2_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","M"
"577","C2-WT229_6E10_3_CA1.oir",6,463.486,77.248,0.029,255,30.351,0.93,0.926,"CA1","WT","M"
"578","C2-WT229_6E10_4_CA1.oir",2,80.338,40.169,0.005,255,18.884,0.993,0.966,"CA1","WT","M"
"579","C2-WT229_6E10_5_CA1.oir",1,43.259,43.259,0.003,255,23.278,1,0.903,"CA1","WT","M"
"580","C2-WT229_6E10_6_CA1.oir",1,103.512,103.512,0.006,255,39.951,0.815,0.95,"CA1","WT","M"
"581","C2-WT229_6E10_7_CA1.oir",2,89.607,44.804,0.006,255,23.278,0.991,0.865,"CA1","WT","M"
"582","C2-WT232_6E10_1_CA1.oir",2,132.866,66.433,0.008,255,28.916,0.998,0.911,"CA1","WT","F"
"583","C2-WT232_6E10_2_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","F"
"584","C2-WT232_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","F"
"585","C2-WT232_6E10_5_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","F"
"586","C2-WT232_6E10_6_CA1.oir",3,1548.042,516.014,0.096,255,123.73,0.444,0.675,"CA1","WT","F"
"587","C2-WT368_6E10_1_CA1.oir",1,44.804,44.804,0.003,255,23.278,1,0.921,"CA1","WT","F"
"588","C2-WT368_6E10_2_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","F"
"589","C2-WT368_6E10_3_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","F"
"590","C2-WT368_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","F"
"591","C2-WT368_6E10_5_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","F"
"592","C2-WT368_6E10_6_CA1.oir",1,30.899,30.899,0.002,255,19.762,0.994,0.909,"CA1","WT","F"
"593","C2-WT368_6E10_7_CA1.oir",3,234.833,78.278,0.014,255,30.493,0.976,0.943,"CA1","WT","F"
"594","C2-WT368_6E10_8_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","WT","F"
"595","C2-WT370_6E10_1_CA1.oir",1,77.248,77.248,0.005,255,31.766,0.962,0.909,"CA1","WT","F"
"596","C2-WT370_6E10_2_CA1.oir",2,83.427,41.714,0.005,255,22.399,0.996,0.913,"CA1","WT","F"
"597","C2-WT370_6E10_3_CA1.oir",1,47.894,47.894,0.003,255,25.036,0.96,0.899,"CA1","WT","F"
"598","C2-WT370_6E10_4_CA1.oir",1,63.343,63.343,0.004,255,28.552,0.976,0.872,"CA1","WT","F"
"599","C2-WT370_6E10_5_CA1.oir",6,321.35,53.558,0.02,255,23.814,0.987,0.913,"CA1","WT","F"
"600","C2-WT370_6E10_6_CA1.oir",1,23.174,23.174,0.001,255,16.548,1,0.857,"CA1","WT","F"
"601","C2-WT370_6E10_7_CA1.oir",7,313.625,44.804,0.019,255,22.629,0.987,0.921,"CA1","WT","F"
"602","C2-WT031_6E10_1_CA3.oir",6,278.091,46.349,0.017,255,22.793,0.985,0.886,"CA3","WT","M"
"603","C2-WT031_6E10_2_CA3.oir",4,234.833,58.708,0.014,255,28.068,0.92,0.911,"CA3","WT","M"
"604","C2-WT031_6E10_3_CA3.oir",4,177.67,44.417,0.011,255,22.399,0.982,0.924,"CA3","WT","M"
"605","C2-WT031_6E10_4_CA3.oir",5,156.04,31.208,0.01,255,19.18,0.972,0.879,"CA3","WT","M"
"606","C2-WT031_6E10_5_CA3.oir",5,1269.951,253.99,0.078,255,58.087,0.822,0.841,"CA3","WT","M"
"607","C2-WT031_6E10_6_CA3.oir",4,670.509,167.627,0.041,255,44.133,0.986,0.93,"CA3","WT","M"
"608","C2-WT031_6E10_7_CA3.oir",5,2853.527,570.705,0.176,255,80.034,0.828,0.889,"CA3","WT","M"
"609","C2-WT031_6E10_8_CA3.oir",5,207.024,41.405,0.013,255,22.078,0.923,0.901,"CA3","WT","M"
"610","C2-WT034_6E10_1_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","M"
"611","C2-WT034_6E10_2_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","M"
"612","C2-WT034_6E10_3_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","M"
"613","C2-WT034_6E10_6_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","M"
"614","C2-WT038_6E10_1_CA3.oir",1,10.863,10.863,0.002,255,11.441,1,0.857,"CA3","WT","F"
"615","C2-WT038_6E10_2_CA3.oir",8,249.244,31.156,0.039,255,18.731,0.979,0.924,"CA3","WT","F"
"616","C2-WT038_6E10_3_CA3.oir",9,439.346,48.816,0.069,255,23.866,0.895,0.92,"CA3","WT","F"
"617","C2-WT038_6E10_5_CA3.oir",2,41.038,20.519,0.006,255,16.974,0.89,0.893,"CA3","WT","F"
"618","C2-WT038_6E10_6_CA3.oir",4,135.787,33.947,0.021,255,19.465,0.933,0.921,"CA3","WT","F"
"619","C2-WT038_6E10_7_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"620","C2-WT038_6E10_8_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"621","C2-WT227_6E10_1_CA3.oir",6,211.658,35.276,0.013,255,18.227,0.995,0.948,"CA3","WT","M"
"622","C2-WT227_6E10_2_CA3.oir",2,537.643,268.822,0.033,255,54.165,0.884,0.864,"CA3","WT","M"
"623","C2-WT227_6E10_3_CA3.oir",1,35.534,35.534,0.002,255,28.552,0.548,0.73,"CA3","WT","M"
"624","C2-WT227_6E10_4_CA3.oir",1,6.18,6.18,0.0003815,255,10.245,0.74,1,"CA3","WT","M"
"625","C2-WT227_6E10_5_CA3.oir",3,97.332,32.444,0.006,255,18.448,0.995,0.927,"CA3","WT","M"
"626","C2-WT227_6E10_6_CA3.oir",2,687.504,343.752,0.042,255,87.964,0.629,0.856,"CA3","WT","M"
"627","C2-WT229_6E10_1_CA3.oir",1,21.629,21.629,0.001,255,16.247,1,0.966,"CA3","WT","M"
"628","C2-WT229_6E10_3_CA3.oir",5,197.754,39.551,0.012,255,20.877,0.984,0.921,"CA3","WT","M"
"629","C2-WT229_6E10_4_CA3.oir",2,134.411,67.205,0.008,255,28.765,0.999,0.931,"CA3","WT","M"
"630","C2-WT229_6E10_7_CA3.oir",2,80.338,40.169,0.005,255,21.156,0.988,0.919,"CA3","WT","M"
"631","C2-WT232_6E10_1_CA3.oir",1,21.629,21.629,0.001,255,15.519,1,0.933,"CA3","WT","F"
"632","C2-WT232_6E10_2_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"633","C2-WT232_6E10_3_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"634","C2-WT232_6E10_4_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"635","C2-WT232_6E10_5_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"636","C2-WT232_6E10_6_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"637","C2-WT368_6E10_1_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"638","C2-WT368_6E10_2_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"639","C2-WT368_6E10_3_CA3.oir",1,37.079,37.079,0.002,255,20.792,1,0.906,"CA3","WT","F"
"640","C2-WT368_6E10_4_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"641","C2-WT368_6E10_5_CA3.oir",1,23.174,23.174,0.001,255,17.277,0.976,0.882,"CA3","WT","F"
"642","C2-WT368_6E10_6_CA3.oir",1,67.978,67.978,0.004,255,29.581,0.976,0.863,"CA3","WT","F"
"643","C2-WT368_6E10_7_CA3.oir",3,37.079,12.36,0.002,255,10.204,1,0.963,"CA3","WT","F"
"644","C2-WT368_6E10_8_CA3.oir",2,61.798,30.899,0.004,255,18.005,1,0.971,"CA3","WT","F"
"645","C2-WT370_6E10_1_CA3.oir",1,86.517,86.517,0.005,255,32.795,1,0.918,"CA3","WT","F"
"646","C2-WT370_6E10_2_CA3.oir",1,24.719,24.719,0.002,255,17.277,1,0.889,"CA3","WT","F"
"647","C2-WT370_6E10_3_CA3.oir",1,9.27,9.27,0.0005722,255,9.517,1,1,"CA3","WT","F"
"648","C2-WT370_6E10_4_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","WT","F"
"649","C2-WT370_6E10_5_CA3.oir",3,63.343,21.114,0.004,255,15.276,1,0.91,"CA3","WT","F"
"650","C2-WT370_6E10_6_CA3.oir",3,118.961,39.654,0.007,255,22.207,0.982,0.878,"CA3","WT","F"
"651","C2-WT370_6E10_7_CA3.oir",2,27.809,13.905,0.002,255,12.154,1,0.916,"CA3","WT","F"
"652","C2-WT031_6E10_1_DG.oir",2,142.136,71.068,0.009,255,29.644,0.987,0.925,"DG","WT","M"
"653","C2-WT031_6E10_2_DG.oir",5,194.664,38.933,0.012,255,18.477,0.98,0.919,"DG","WT","M"
"654","C2-WT031_6E10_3_DG.oir",7,224.018,32.003,0.014,255,18.532,0.995,0.894,"DG","WT","M"
"655","C2-WT031_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","M"
"656","C2-WT031_6E10_5_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","M"
"657","C2-WT031_6E10_6_DG.oir",9,894.527,99.392,0.055,255,31.199,0.955,0.891,"DG","WT","M"
"658","C2-WT031_6E10_7_DG.oir",3,109.692,36.564,0.007,255,20.348,0.984,0.929,"DG","WT","M"
"659","C2-WT031_6E10_8_DG.oir",1,24.719,24.719,0.002,255,17.578,1,0.821,"DG","WT","M"
"660","C2-WT034_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","M"
"661","C2-WT034_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","M"
"662","C2-WT034_6E10_3_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","M"
"663","C2-WT034_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","M"
"664","C2-WT034_6E10_5_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","M"
"665","C2-WT034_6E10_6_DG.oir",1,18.539,18.539,0.001,255,14.791,1,0.857,"DG","WT","F"
"666","C2-WT038_6E10_1_DG.oir",5,114.061,22.812,0.018,255,16.413,0.971,0.928,"DG","WT","F"
"667","C2-WT038_6E10_2_DG.oir",5,274.591,54.918,0.043,255,26.31,0.9,0.922,"DG","WT","F"
"668","C2-WT038_6E10_5_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"669","C2-WT038_6E10_6_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"670","C2-WT038_6E10_7_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"671","C2-WT038_6E10_8_DG.oir",3,70.006,23.335,0.011,255,16.898,0.999,0.91,"DG","WT","F"
"672","C2-WT227_6E10_1_DG.oir",4,101.967,25.492,0.006,255,16.988,1,0.877,"DG","WT","M"
"673","C2-WT227_6E10_2_DG.oir",6,106.602,17.767,0.007,255,13.154,1,0.92,"DG","WT","M"
"674","C2-WT227_6E10_3_DG.oir",3,516.014,172.005,0.032,255,44.739,0.797,0.856,"DG","WT","M"
"675","C2-WT227_6E10_4_DG.oir",2,58.708,29.354,0.004,255,18.155,1,0.919,"DG","WT","M"
"676","C2-WT227_6E10_5_DG.oir",5,225.563,45.113,0.014,255,22.927,1,0.914,"DG","WT","M"
"677","C2-WT227_6E10_6_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","M"
"678","C2-WT229_6E10_1_DG.oir",1,10.815,10.815,0.0006676,255,11.275,1,0.875,"DG","WT","M"
"679","C2-WT229_6E10_2_DG.oir",4,224.018,56.005,0.014,255,25.431,0.915,0.918,"DG","WT","M"
"680","C2-WT229_6E10_3_DG.oir",5,129.776,25.955,0.008,255,16.634,1,0.913,"DG","WT","M"
"681","C2-WT229_6E10_4_DG.oir",1,4.635,4.635,0.0002861,255,7.031,1,0.857,"DG","WT","M"
"682","C2-WT229_6E10_5_DG.oir",1,254.917,254.917,0.016,255,57.956,0.954,0.948,"DG","WT","M"
"683","C2-WT229_6E10_6_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","M"
"684","C2-WT229_6E10_7_DG.oir",1,29.354,29.354,0.002,255,18.306,1,0.864,"DG","WT","M"
"685","C2-WT232_6E10_1_DG.oir",1,71.068,71.068,0.004,255,31.037,0.927,0.885,"DG","WT","F"
"686","C2-WT232_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"687","C2-WT232_6E10_3_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"688","C2-WT232_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"689","C2-WT232_6E10_5_DG.oir",1,88.062,88.062,0.005,255,33.523,0.985,0.912,"DG","WT","F"
"690","C2-WT232_6E10_6_DG.oir",5,12523.384,2504.677,0.773,255,177.34,0.724,0.851,"DG","WT","F"
"691","C2-WT368_6E10_1_DG.oir",1,15.45,15.45,0.0009537,255,13.033,1,0.909,"DG","WT","F"
"692","C2-WT368_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"693","C2-WT368_6E10_3_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"694","C2-WT368_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"695","C2-WT368_6E10_5_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"696","C2-WT368_6E10_6_DG.oir",1,44.804,44.804,0.003,255,23.278,1,0.921,"DG","WT","F"
"697","C2-WT368_6E10_7_DG.oir",1,199.299,199.299,0.012,255,50.8,0.97,0.925,"DG","WT","F"
"698","C2-WT368_6E10_8_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"699","C2-WT370_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"700","C2-WT370_6E10_2_DG.oir",1,177.67,177.67,0.011,255,52.256,0.818,0.913,"DG","WT","F"
"701","C2-WT370_6E10_3_DG.oir",2,44.804,22.402,0.003,255,16.398,1,0.896,"DG","WT","F"
"702","C2-WT370_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","WT","F"
"703","C2-WT370_6E10_5_DG.oir",2,29.354,14.677,0.002,255,12.154,0.988,0.929,"DG","WT","F"
"704","C2-WT370_6E10_6_DG.oir",2,149.86,74.93,0.009,255,29.129,0.973,0.938,"DG","WT","F"
"705","C2-WT370_6E10_7_DG.oir",2,32.444,16.222,0.002,255,12.518,1,0.902,"DG","WT","F"
