"","MouseID","Treatment","TBI_Number","righting_reflex_time"
"1","AD003","Sham",1,110
"2","AD004","Sham",1,71
"3","AD005","TBI",1,164
"4","AD006","TBI",1,220
"5","AD008","Sham",1,91
"6","AD009","Sham",1,104
"7","AD010","TBI",1,210
"8","AD011","TBI",1,256
"9","AD013","Sham",1,148
"10","AD014","Sham",1,108
"11","AD015","TBI",1,215
"12","AD016","TBI",1,315
"13","AD022","Sham",1,120
"14","AD023","Sham",1,130
"15","AD026","TBI",1,325
"16","AD027","TBI",1,252
"17","AD030","Sham",1,105
"18","AD031","Sham",1,128
"19","AD033","TBI",1,246
"20","AD034","TBI",1,250
"21","AD061","TBI",1,335
"22","AD062","TBI",1,238
"23","AD073","Sham",1,225
"24","AD074","Sham",1,194
"25","AD077","TBI",1,244
"26","AD076","TBI",1,201
"27","AD080","Sham",1,243
"28","AD081","Sham",1,156
"29","AD083","TBI",1,310
"30","AD082","TBI",1,324
"31","AD084","Sham",1,133
"32","AD085","Sham",1,118
"33","AD162","Sham",1,124
"34","AD164","Sham",1,266
"35","AD168","Sham",1,160
"36","AD170","TBI",1,210
"37","AD171","TBI",1,280
"38","AD172","TBI",1,188
"39","AD173","TBI",1,324
"40","AD175","Sham",1,170
"41","AD176","Sham",1,108
"42","AD178","TBI",1,117
"43","AD179","TBI",1,282
"44","AD182","Sham",1,95
"45","AD184","Sham",1,135
"46","AD186","TBI",1,306
"47","AD257","TBI",1,285
"48","AD258","TBI",1,294
"49","AD259","Sham",1,83
"50","AD265","Sham",1,55
"51","AD261","TBI",1,251
"52","AD262","TBI",1,269
"53","AD263","TBI",1,236
"54","AD264","TBI",1,276
"55","AD269","Sham",1,120
"56","AD270","Sham",1,83
"57","AD271","TBI",1,164
"58","AD272","TBI",1,347
"59","AD273","Sham",1,74
"60","AS274","Sham",1,58
"61","AD279","TBI",1,101
"62","AD280","TBI",1,359
"63","AD283","Sham",1,197
"64","AD284","Sham",1,111
"65","AD003","Sham",2,133
"66","AD004","Sham",2,91
"67","AD005","TBI",2,185
"68","AD006","TBI",2,226
"69","AD008","Sham",2,104
"70","AD009","Sham",2,124
"71","AD010","TBI",2,299
"72","AD011","TBI",2,193
"73","AD013","Sham",2,108
"74","AD014","Sham",2,163
"75","AD015","TBI",2,172
"76","AD016","TBI",2,220
"77","AD022","Sham",2,139
"78","AD023","Sham",2,142
"79","AD026","TBI",2,314
"80","AD027","TBI",2,296
"81","AD030","Sham",2,84
"82","AD031","Sham",2,75
"83","AD033","TBI",2,169
"84","AD034","TBI",2,173
"85","AD061","TBI",2,169
"86","AD062","TBI",2,207
"87","AD073","Sham",2,104
"88","AD074","Sham",2,107
"89","AD077","TBI",2,170
"90","AD076","TBI",2,249
"91","AD080","Sham",2,114
"92","AD081","Sham",2,111
"93","AD083","TBI",2,446
"94","AD082","TBI",2,371
"95","AD084","Sham",2,123
"96","AD085","Sham",2,107
"97","AD162","Sham",2,124
"98","AD164","Sham",2,132
"99","AD168","Sham",2,97
"100","AD170","TBI",2,175
"101","AD171","TBI",2,345
"102","AD172","TBI",2,325
"103","AD173","TBI",2,236
"104","AD175","Sham",2,94
"105","AD176","Sham",2,129
"106","AD178","TBI",2,300
"107","AD179","TBI",2,267
"108","AD182","Sham",2,128
"109","AD184","Sham",2,76
"110","AD186","TBI",2,173
"111","AD152","TBI",2,164
"112","AD257","TBI",2,278
"113","AD258","TBI",2,123
"114","AD259","Sham",2,221
"115","AD265","Sham",2,111
"116","AD261","TBI",2,129
"117","AD262","TBI",2,68
"118","AD263","TBI",2,223
"119","AD264","TBI",2,600
"120","AD269","Sham",2,75
"121","AD270","Sham",2,74
"122","AD271","TBI",2,166
"123","AD272","TBI",2,300
"124","AD273","Sham",2,90
"125","AS274","Sham",2,85
"126","AD280","TBI",2,285
"127","AD283","Sham",2,79
"128","AD284","Sham",2,47
"129","AD281","TBI",2,245
"130","AD003","Sham",3,105
"131","AD004","Sham",3,90
"132","AD005","TBI",3,151
"133","AD006","TBI",3,98
"134","AD008","Sham",3,112
"135","AD009","Sham",3,106
"136","AD010","TBI",3,299
"137","AD011","TBI",3,154
"138","AD013","Sham",3,96
"139","AD014","Sham",3,94
"140","AD015","TBI",3,171
"141","AD016","TBI",3,137
"142","AD022","Sham",3,119
"143","AD023","Sham",3,175
"144","AD026","TBI",3,225
"145","AD027","TBI",3,134
"146","AD030","Sham",3,64
"147","AD031","Sham",3,87
"148","AD033","TBI",3,234
"149","AD034","TBI",3,220
"150","AD061","TBI",3,164
"151","AD062","TBI",3,328
"152","AD073","Sham",3,101
"153","AD074","Sham",3,100
"154","AD077","TBI",3,290
"155","AD076","TBI",3,95
"156","AD080","Sham",3,102
"157","AD081","Sham",3,61
"158","AD083","TBI",3,265
"159","AD082","TBI",3,213
"160","AD084","Sham",3,106
"161","AD085","Sham",3,102
"162","AD162","Sham",3,82
"163","AD164","Sham",3,95
"164","AD168","Sham",3,106
"165","AD170","TBI",3,230
"166","AD171","TBI",3,298
"167","AD172","TBI",3,169
"168","AD173","TBI",3,288
"169","AD175","Sham",3,105
"170","AD176","Sham",3,54
"171","AD178","TBI",3,86
"172","AD179","TBI",3,152
"173","AD182","Sham",3,152
"174","AD184","Sham",3,141
"175","AD186","TBI",3,130
"176","AD152","TBI",3,207
"177","AD257","TBI",3,168
"178","AD258","TBI",3,333
"179","AD259","Sham",3,159
"180","AD265","Sham",3,98
"181","AD261","TBI",3,75
"182","AD262","TBI",3,67
"183","AD263","TBI",3,714
"184","AD264","TBI",3,388
"185","AD269","Sham",3,83
"186","AD270","Sham",3,41
"187","AD271","TBI",3,693
"188","AD272","TBI",3,114
"189","AD273","Sham",3,57
"190","AS274","Sham",3,72
"191","AD280","TBI",3,648
"192","AD283","Sham",3,101
"193","AD284","Sham",3,83
"194","AD281","TBI",3,331
"195","AD003","Sham",4,112
"196","AD004","Sham",4,46
"197","AD005","TBI",4,126
"198","AD006","TBI",4,117
"199","AD008","Sham",4,96
"200","AD009","Sham",4,90
"201","AD010","TBI",4,275
"202","AD011","TBI",4,114
"203","AD013","Sham",4,108
"204","AD014","Sham",4,114
"205","AD015","TBI",4,124
"206","AD016","TBI",4,184
"207","AD022","Sham",4,130
"208","AD023","Sham",4,157
"209","AD026","TBI",4,264
"210","AD027","TBI",4,240
"211","AD030","Sham",4,120
"212","AD031","Sham",4,66
"213","AD033","TBI",4,205
"214","AD034","TBI",4,181
"215","AD061","TBI",4,119
"216","AD062","TBI",4,210
"217","AD073","Sham",4,161
"218","AD074","Sham",4,118
"219","AD077","TBI",4,217
"220","AD076","TBI",4,94
"221","AD080","Sham",4,106
"222","AD081","Sham",4,63
"223","AD083","TBI",4,167
"224","AD082","TBI",4,282
"225","AD084","Sham",4,107
"226","AD085","Sham",4,101
"227","AD162","Sham",4,53
"228","AD164","Sham",4,69
"229","AD168","Sham",4,104
"230","AD170","TBI",4,184
"231","AD171","TBI",4,194
"232","AD172","TBI",4,145
"233","AD173","TBI",4,301
"234","AD175","Sham",4,84
"235","AD176","Sham",4,83
"236","AD178","TBI",4,124
"237","AD179","TBI",4,205
"238","AD182","Sham",4,103
"239","AD184","Sham",4,99
"240","AD186","TBI",4,120
"241","AD152","TBI",4,90
"242","AD159","Sham",4,172
"243","AD257","TBI",4,135
"244","AD258","TBI",4,264
"245","AD259","Sham",4,149
"246","AD265","Sham",4,61
"247","AD261","TBI",4,103
"248","AD262","TBI",4,164
"249","AD264","TBI",4,328
"250","AD269","Sham",4,93
"251","AD270","Sham",4,53
"252","AD271","TBI",4,221
"253","AD272","TBI",4,147
"254","AD273","Sham",4,72
"255","AS274","Sham",4,80
"256","AD280","TBI",4,225
"257","AD283","Sham",4,84
"258","AD284","Sham",4,62
"259","AD281","TBI",4,118
"260","AD003","Sham",5,128
"261","AD004","Sham",5,69
"262","AD005","TBI",5,314
"263","AD006","TBI",5,163
"264","AD008","Sham",5,114
"265","AD009","Sham",5,90
"266","AD010","TBI",5,292
"267","AD011","TBI",5,135
"268","AD013","Sham",5,103
"269","AD014","Sham",5,116
"270","AD015","TBI",5,76
"271","AD016","TBI",5,201
"272","AD022","Sham",5,128
"273","AD023","Sham",5,128
"274","AD026","TBI",5,168
"275","AD027","TBI",5,230
"276","AD030","Sham",5,126
"277","AD031","Sham",5,94
"278","AD033","TBI",5,116
"279","AD034","TBI",5,143
"280","AD061","TBI",5,239
"281","AD062","TBI",5,317
"282","AD073","Sham",5,109
"283","AD074","Sham",5,138
"284","AD077","TBI",5,270
"285","AD076","TBI",5,207
"286","AD080","Sham",5,149
"287","AD081","Sham",5,49
"288","AD083","TBI",5,261
"289","AD082","TBI",5,281
"290","AD084","Sham",5,131
"291","AD085","Sham",5,90
"292","AD162","Sham",5,60
"293","AD164","Sham",5,127
"294","AD168","Sham",5,138
"295","AD170","TBI",5,229
"296","AD171","TBI",5,199
"297","AD172","TBI",5,139
"298","AD173","TBI",5,196
"299","AD175","Sham",5,45
"300","AD176","Sham",5,92
"301","AD178","TBI",5,103
"302","AD179","TBI",5,200
"303","AD182","Sham",5,134
"304","AD184","Sham",5,65
"305","AD186","TBI",5,233
"306","AD152","TBI",5,179
"307","AD159","Sham",5,107
"308","AD257","TBI",5,324
"309","AD258","TBI",5,70
"310","AD259","Sham",5,131
"311","AD265","Sham",5,75
"312","AD261","TBI",5,91
"313","AD262","TBI",5,61
"314","AD264","TBI",5,281
"315","AD269","Sham",5,59
"316","AD270","Sham",5,41
"317","AD271","TBI",5,144
"318","AD272","TBI",5,90
"319","AD273","Sham",5,76
"320","AS274","Sham",5,75
"321","AD280","TBI",5,176
"322","AD283","Sham",5,136
"323","AD284","Sham",5,59
"324","AD281","TBI",5,70
